PWSName,Size,FacilityName,FacilityWaterType,Contaminant,MRL,Result,Result_value,State,Date
Westfield Water Dept.,L,Well #5,GW,manganese,0.4,TRUE,4.15,MA,2020-03-25
Westfield Water Dept.,L,Well #6,GW,manganese,0.4,TRUE,1.01,MA,2019-09-25
Westfield Water Dept.,L,Well #6,GW,manganese,0.4,TRUE,1.19,MA,2020-03-25
Acton Water Supply District,L,Kennedy WTF w/ Marshall Well,GU,manganese,0.4,TRUE,8.3,MA,2019-01-29
Acton Water Supply District,L,Kennedy WTF w/ Marshall Well,GU,manganese,0.4,TRUE,6.7,MA,2019-04-29
Acton Water Supply District,L,Kennedy WTF w/ Marshall Well,GU,manganese,0.4,TRUE,13,MA,2019-07-25
Acton Water Supply District,L,Kennedy WTF w/ Marshall Well,GU,manganese,0.4,TRUE,0.81,MA,2019-10-28
Acton Water Supply District,L,South Acton WTP,GU,manganese,0.4,TRUE,1.9,MA,2019-01-30
Acton Water Supply District,L,South Acton WTP,GU,manganese,0.4,TRUE,1.2,MA,2019-04-16
Acton Water Supply District,L,South Acton WTP,GU,manganese,0.4,TRUE,3.8,MA,2019-07-24
Acton Water Supply District,L,South Acton WTP,GU,manganese,0.4,TRUE,7.1,MA,2019-10-22
Acton Water Supply District,L,Conant Well #1,GW,manganese,0.4,TRUE,193,MA,2019-01-30
Acton Water Supply District,L,Conant Well #1,GW,manganese,0.4,TRUE,148,MA,2019-07-25
Acton Water Supply District,L,Conant II Wellfield,GW,manganese,0.4,TRUE,30.8,MA,2019-01-31
Acton Water Supply District,L,Conant II Wellfield,GW,manganese,0.4,TRUE,121,MA,2019-07-31
Acton Water Supply District,L,Whitcomb & Clapp WTP,GW,manganese,0.4,TRUE,1090,MA,2019-01-31
Acton Water Supply District,L,Whitcomb & Clapp WTP,GW,manganese,0.4,TRUE,3.1,MA,2019-07-24
Auburn Water District,L,Well #1 TP,GW,manganese,0.4,TRUE,1.37,MA,2019-08-14
Auburn Water District,L,Well #1 TP,GW,manganese,0.4,TRUE,0.709,MA,2020-02-11
Auburn Water District,L,Well #3 TP,GW,manganese,0.4,TRUE,2.46,MA,2019-08-14
Auburn Water District,L,Well #3 TP,GW,manganese,0.4,TRUE,2.78,MA,2020-02-11
Auburn Water District,L,Walsh Blend TP,GW,manganese,0.4,TRUE,21.1,MA,2019-08-14
Auburn Water District,L,Walsh Blend TP,GW,manganese,0.4,TRUE,2.86,MA,2020-02-11
Auburn Water District,L,Southbridge Blend TP,GW,manganese,0.4,TRUE,1.61,MA,2019-08-14
Auburn Water District,L,Southbridge Blend TP,GW,manganese,0.4,TRUE,2.89,MA,2020-02-11
Auburn Water District,L,South St. Blend TP,GW,manganese,0.4,TRUE,31.6,MA,2019-08-14
Auburn Water District,L,South St. Blend TP,GW,manganese,0.4,TRUE,31.2,MA,2020-02-11
Auburn Water District,L,West St. Blend TP,GW,manganese,0.4,TRUE,0.966,MA,2019-08-14
Auburn Water District,L,West St. Blend TP,GW,manganese,0.4,TRUE,1.26,MA,2020-02-11
Bellingham DPW Water & Sewer Div.,L,Hartford Avenue WTP,GW,manganese,0.4,TRUE,7.83,MA,2020-02-19
Bellingham DPW Water & Sewer Div.,L,Hartford Avenue WTP,GW,manganese,0.4,TRUE,18.5,MA,2020-08-20
Bellingham DPW Water & Sewer Div.,L,Wrentham Road WTP #1,GW,manganese,0.4,TRUE,0.722,MA,2020-02-19
